# ----------------------------------------
# 1 Master View
# Огляд аудиторії
# 20190301-20190430
# ----------------------------------------

Індекс години,Діапазон дат,Сегмент,Сер. тривалість сеансу
000000,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:29
000000,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:58
000000,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:39
000001,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:00:29
000001,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:00:44
000001,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:43
000002,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:03
000002,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:01
000002,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:54
000003,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:00:47
000003,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:46
000003,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:46
000004,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:00:37
000004,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:00:36
000004,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:36
000005,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:17
000005,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:01
000005,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:31
000006,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:19
000006,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:13
000006,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:04:29
000007,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:07
000007,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:47
000007,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:49
000008,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:35
