Індекс години,Діапазон дат,Сегмент,Сер. тривалість сеансу
0,01.03.2019,Трафік мобільних пристроїв,0.063
1,01.03.2019,Трафік мобільних пристроїв,0.070
4,01.03.2019,Трафік мобільних пристроїв,0.059
6,01.03.2019,Трафік мобільних пристроїв,0.437
8,01.03.2019,Трафік мобільних пристроїв,0.034
15,01.03.2019,Трафік мобільних пристроїв,0.691
17,01.03.2019,Трафік мобільних пристроїв,0.475
23,01.03.2019,Трафік мобільних пристроїв,0.050
0,02.03.2019,Трафік мобільних пристроїв,0.063
4,02.03.2019,Трафік мобільних пристроїв,0.046
14,02.03.2019,Трафік мобільних пристроїв,0.050
17,02.03.2019,Трафік мобільних пристроїв,0.480
20,02.03.2019,Трафік мобільних пристроїв,0.636
11,03.03.2019,Трафік мобільних пристроїв,0.068
22,03.03.2019,Трафік мобільних пристроїв,0.047
3,04.03.2019,Трафік мобільних пристроїв,0.463
6,04.03.2019,Трафік мобільних пристроїв,0.026
8,04.03.2019,Трафік мобільних пристроїв,0.055
12,04.03.2019,Трафік мобільних пристроїв,0.033
19,04.03.2019,Трафік мобільних пристроїв,0.059
20,04.03.2019,Трафік мобільних пристроїв,0.509
23,04.03.2019,Трафік мобільних пристроїв,0.044
2,05.03.2019,Трафік мобільних пристроїв,0.059
3,05.03.2019,Трафік мобільних пристроїв,0.072
9,05.03.2019,Трафік мобільних пристроїв,0.065
10,05.03.2019,Трафік мобільних пристроїв,0.042
14,06.03.2019,Трафік мобільних пристроїв,0.026
23,06.03.2019,Трафік мобільних пристроїв,0.044
6,07.03.2019,Трафік мобільних пристроїв,0.046
18,07.03.2019,Трафік мобільних пристроїв,0.470
21,07.03.2019,Трафік мобільних пристроїв,0.062
23,07.03.2019,Трафік мобільних пристроїв,0.065
1,08.03.2019,Трафік мобільних пристроїв,0.037
5,08.03.2019,Трафік мобільних пристроїв,0.034
11,08.03.2019,Трафік мобільних пристроїв,0.062
17,08.03.2019,Трафік мобільних пристроїв,0.564
19,08.03.2019,Трафік мобільних пристроїв,0.707
23,08.03.2019,Трафік мобільних пристроїв,0.054
11,09.03.2019,Трафік мобільних пристроїв,0.512
14,09.03.2019,Трафік мобільних пристроїв,0.076
2,10.03.2019,Трафік мобільних пристроїв,0.000
3,10.03.2019,Трафік мобільних пристроїв,0.052
8,10.03.2019,Трафік мобільних пристроїв,0.052
2,11.03.2019,Трафік мобільних пристроїв,0.028
3,11.03.2019,Трафік мобільних пристроїв,0.076
6,11.03.2019,Трафік мобільних пристроїв,0.037
17,11.03.2019,Трафік мобільних пристроїв,0.454
4,12.03.2019,Трафік мобільних пристроїв,0.050
21,12.03.2019,Трафік мобільних пристроїв,0.551
1,13.03.2019,Трафік мобільних пристроїв,0.478
4,13.03.2019,Трафік мобільних пристроїв,0.060
23,13.03.2019,Трафік мобільних пристроїв,0.070
4,14.03.2019,Трафік мобільних пристроїв,0.073
14,14.03.2019,Трафік мобільних пристроїв,0.501
5,15.03.2019,Трафік мобільних пристроїв,0.782
15,15.03.2019,Трафік мобільних пристроїв,0.494
3,16.03.2019,Трафік мобільних пристроїв,1.000
14,16.03.2019,Трафік мобільних пристроїв,0.502
22,16.03.2019,Трафік мобільних пристроїв,0.470
2,17.03.2019,Трафік мобільних пристроїв,0.057
3,17.03.2019,Трафік мобільних пристроїв,0.501
5,17.03.2019,Трафік мобільних пристроїв,0.033
11,17.03.2019,Трафік мобільних пристроїв,0.493
21,17.03.2019,Трафік мобільних пристроїв,0.065
5,18.03.2019,Трафік мобільних пристроїв,0.067
6,18.03.2019,Трафік мобільних пристроїв,0.067
23,18.03.2019,Трафік мобільних пристроїв,0.033
0,19.03.2019,Трафік мобільних пристроїв,0.062
6,19.03.2019,Трафік мобільних пристроїв,0.024
10,19.03.2019,Трафік мобільних пристроїв,0.595
11,19.03.2019,Трафік мобільних пристроїв,0.073
13,19.03.2019,Трафік мобільних пристроїв,0.068
21,19.03.2019,Трафік мобільних пристроїв,0.470
6,20.03.2019,Трафік мобільних пристроїв,0.046
10,20.03.2019,Трафік мобільних пристроїв,0.060
23,20.03.2019,Трафік мобільних пристроїв,0.068
3,21.03.2019,Трафік мобільних пристроїв,0.450
4,21.03.2019,Трафік мобільних пристроїв,0.485
12,21.03.2019,Трафік мобільних пристроїв,0.075
13,21.03.2019,Трафік мобільних пристроїв,0.442
23,21.03.2019,Трафік мобільних пристроїв,0.065
0,22.03.2019,Трафік мобільних пристроїв,0.067
4,22.03.2019,Трафік мобільних пристроїв,0.036
22,22.03.2019,Трафік мобільних пристроїв,0.450
0,23.03.2019,Трафік мобільних пристроїв,0.060
2,23.03.2019,Трафік мобільних пристроїв,0.055
19,23.03.2019,Трафік мобільних пристроїв,0.634
3,24.03.2019,Трафік мобільних пристроїв,0.073
4,24.03.2019,Трафік мобільних пристроїв,0.020
11,24.03.2019,Трафік мобільних пристроїв,0.046
3,25.03.2019,Трафік мобільних пристроїв,0.072
4,25.03.2019,Трафік мобільних пристроїв,0.454
10,25.03.2019,Трафік мобільних пристроїв,0.075
12,25.03.2019,Трафік мобільних пристроїв,0.073
17,25.03.2019,Трафік мобільних пристроїв,0.068
23,25.03.2019,Трафік мобільних пристроїв,0.070
2,26.03.2019,Трафік мобільних пристроїв,0.059
3,26.03.2019,Трафік мобільних пристроїв,0.075
9,26.03.2019,Трафік мобільних пристроїв,0.041
17,26.03.2019,Трафік мобільних пристроїв,0.065
2,27.03.2019,Трафік мобільних пристроїв,0.044
3,27.03.2019,Трафік мобільних пристроїв,0.005
13,27.03.2019,Трафік мобільних пристроїв,0.062
20,27.03.2019,Трафік мобільних пристроїв,0.675
23,27.03.2019,Трафік мобільних пристроїв,0.057
2,29.03.2019,Трафік мобільних пристроїв,0.847
7,29.03.2019,Трафік мобільних пристроїв,0.052
16,29.03.2019,Трафік мобільних пристроїв,0.486
5,30.03.2019,Трафік мобільних пристроїв,0.068
11,30.03.2019,Трафік мобільних пристроїв,0.075
1,00.04.2019,Трафік мобільних пристроїв,0.054
4,00.04.2019,Трафік мобільних пристроїв,0.016
8,00.04.2019,Трафік мобільних пристроїв,0.041
2,01.04.2019,Трафік мобільних пристроїв,0.046
16,01.04.2019,Трафік мобільних пристроїв,0.057
3,02.04.2019,Трафік мобільних пристроїв,0.049
10,02.04.2019,Трафік мобільних пристроїв,0.465
1,03.04.2019,Трафік мобільних пристроїв,0.029
2,03.04.2019,Трафік мобільних пристроїв,0.039
5,03.04.2019,Трафік мобільних пристроїв,0.073
8,03.04.2019,Трафік мобільних пристроїв,0.052
15,03.04.2019,Трафік мобільних пристроїв,0.511
23,03.04.2019,Трафік мобільних пристроїв,0.067
2,04.04.2019,Трафік мобільних пристроїв,0.046
8,04.04.2019,Трафік мобільних пристроїв,0.057
10,04.04.2019,Трафік мобільних пристроїв,0.072
11,04.04.2019,Трафік мобільних пристроїв,0.049
21,04.04.2019,Трафік мобільних пристроїв,0.701
2,05.04.2019,Трафік мобільних пристроїв,0.034
3,05.04.2019,Трафік мобільних пристроїв,0.441
7,05.04.2019,Трафік мобільних пристроїв,0.067
12,05.04.2019,Трафік мобільних пристроїв,0.076
18,05.04.2019,Трафік мобільних пристроїв,0.543
4,06.04.2019,Трафік мобільних пристроїв,0.073
19,06.04.2019,Трафік мобільних пристроїв,0.610
0,07.04.2019,Трафік мобільних пристроїв,0.067
14,07.04.2019,Трафік мобільних пристроїв,0.441
1,08.04.2019,Трафік мобільних пристроїв,0.055
6,08.04.2019,Трафік мобільних пристроїв,0.020
9,08.04.2019,Трафік мобільних пристроїв,0.067
20,08.04.2019,Трафік мобільних пристроїв,0.441
0,09.04.2019,Трафік мобільних пристроїв,0.050
1,09.04.2019,Трафік мобільних пристроїв,0.060
3,09.04.2019,Трафік мобільних пристроїв,0.039
7,09.04.2019,Трафік мобільних пристроїв,0.075
12,09.04.2019,Трафік мобільних пристроїв,0.488
20,09.04.2019,Трафік мобільних пристроїв,0.590
22,09.04.2019,Трафік мобільних пристроїв,0.602
8,10.04.2019,Трафік мобільних пристроїв,0.072
3,11.04.2019,Трафік мобільних пристроїв,0.044
4,11.04.2019,Трафік мобільних пристроїв,0.031
16,11.04.2019,Трафік мобільних пристроїв,0.476
