Індекс години,Діапазон дат,Сегмент,Сер. тривалість сеансу
4,01.03.2019,Трафік із планшетних і настільних ПК,0.041
2,09.03.2019,Трафік із планшетних і настільних ПК,0.045
2,10.03.2019,Трафік із планшетних і настільних ПК,0.000
3,16.03.2019,Трафік із планшетних і настільних ПК,0.043
16,16.03.2019,Трафік із планшетних і настільних ПК,0.481
3,21.03.2019,Трафік із планшетних і настільних ПК,0.047
3,23.03.2019,Трафік із планшетних і настільних ПК,0.472
1,29.03.2019,Трафік із планшетних і настільних ПК,0.046
2,29.03.2019,Трафік із планшетних і настільних ПК,0.656
7,13.04.2019,Трафік із планшетних і настільних ПК,0.492
21,14.04.2019,Трафік із планшетних і настільних ПК,0.476
21,18.04.2019,Трафік із планшетних і настільних ПК,1.000
22,18.04.2019,Трафік із планшетних і настільних ПК,0.474
11,20.04.2019,Трафік із планшетних і настільних ПК,0.595
19,20.04.2019,Трафік із планшетних і настільних ПК,0.481
17,21.04.2019,Трафік із планшетних і настільних ПК,0.677
19,26.04.2019,Трафік із планшетних і настільних ПК,0.701
2,27.04.2019,Трафік із планшетних і настільних ПК,0.042
